cO,cD,demand
5006,584,59
584,5001,7
5000,434,2
434,5001,3
5000,503,7
503,5001,5
5000,530,2
530,5001,2
5000,579,3
579,5001,2
5000,435,6
435,5011,5
5000,552,2
552,5001,2
5000,521,1
521,5001,2
5000,429,1
429,5001,2
5000,493,2
493,5001,3
5000,457,3
457,5001,3
5000,583,1
583,5001,2
5000,551,1
551,5001,1
5000,436,3
436,5001,1
5000,463,3
463,5001,3
5000,457,1
457,5001,1
5000,439,2
439,5001,1
431,5001,3
480,5001,3
5000,477,1
477,5001,1
477,5005,1
5004,477,1
5000,464,1
464,5001,1
5000,518,1
518,5001,1
5000,651,2
651,5001,2
5000,572,2
572,5001,1
5000,652,2
652,5001,3
5000,583,2
583,5001,2
5000,429,2
429,5001,1
5000,441,1
441,5001,1
522,5001,1
5000,488,2
488,5001,2
5000,461,1
461,5001,2
5002,575,1
575,5001,2
5000,571,1
571,5001,3
435,5001,5
5000,535,1
535,5001,1
5000,611,8
611,5001,8
5000,630,2
630,5001,2
5000,549,1
549,5001,1
5000,605,2
605,5001,1
5000,503,9
503,5001,20
5000,433,2
433,5001,9
5000,568,1
568,5001,3
5000,611,1
611,5001,2
5000,429,1
429,5001,1
433,5001,2
5000,629,1
629,5001,1
5000,469,1
469,5001,1
5000,428,3
428,5001,4
5000,651,5
651,5001,4
5000,463,3
463,487,6
487,5001,1
5000,489,1
489,5001,1
5000,498,2
498,5001,2
5000,576,2
576,5001,3
5000,470,1
470,5001,1
5000,471,1
471,5001,1
5000,506,2
506,568,3
435,5001,3
5000,581,1
581,5001,1
5000,553,2
553,5001,1
553,5005,3
5004,553,1
5000,495,2
495,5001,3
5000,631,2
631,574,5
574,5001,1
5000,569,3
569,5001,2
5000,435,6
435,5001,5
5000,502,1
502,5001,1
5002,520,2
520,5001,1
520,572,1
572,520,1
5000,454,1
454,5001,1
5000,426,3
426,5001,2
5000,631,3
631,5001,6
5000,514,3
514,5001,9
5000,652,4
652,5001,5
5000,451,1
451,5001,2
503,5001,4
5000,552,1
552,5001,8
5000,498,1
498,5001,2
5000,472,1
472,5001,1
5000,453,1
453,5001,2
5000,538,2
538,5001,3
5000,571,3
571,5001,3
628,501,9
501,628,12
5000,650,3
650,5001,4
513,5001,2
5000,609,1
609,5001,2
